wu,17-Sep,17-Dec,18-Mar
Very dissastisfied,14.4,14,16.6
Dissastisfied,29.4,30.4,31.3
Sastisfied,22.8,24.1,20
Very sastisfied,3.2,2.6,2.8
No response,30.1,29,29.3
N,1231,1268,1241
