Tsai,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,17-Sep,17-Dec,18-Mar
Very dissastisfied,28.3,5.3,16.3,20.7,22,26.6,19.1,24.4,26.8
Dissastisfied,31.4,12.8,26.6,30,30.3,33.3,32.7,31.1,31
Sastisfied,20.5,36.1,29.8,27.2,28.2,22.4,27.2,23.4,21.2
Very sastisfied,6.6,15.5,7.9,6.9,5.1,4.1,5.5,4.2,5.2
No response,13.2,30.3,19.4,15.2,14.4,13.6,15.5,16.9,15.8
N,1099,1091,1282,1300,1218,1230,1231,1268,1241
